Name,Trial #,Gray Level (0-255),Reaction (ms)
Tejas 1,4,224,255
Tejas 1,5,96,280
Tejas 1,6,64,321
Tejas 1,7,64,284
Tejas 1,8,160,361
Tejas 1,9,192,284
Tejas 1,10,160,238
Tejas 1,11,224,276
Tejas 1,12,64,377
Tejas 1,13,32,235
Tejas 1,14,224,308
Tejas 1,15,96,248
Tejas 1,16,128,336
Tejas 1,17,192,338
Tejas 1,18,160,276
Tejas 1,19,255,247
Tejas 1,20,32,428
Tejas 1,21,128,288
Tejas 1,22,32,284
Tejas 1,23,96,312
Tejas 1,24,192,277
Tejas 1,25,128,392
Tejas 1,26,255,277
Tejas 1,27,255,311
Tejas 1,28,32,323
Tejas 1,29,64,287
Tejas 1,30,224,284
Tejas 1,31,160,273
Tejas 1,32,128,294
Tejas 1,33,192,309
Tejas 1,34,128,312
Tejas 1,35,32,294
Tejas 1,36,224,299
Tejas 1,37,64,346
Tejas 1,38,192,254
Tejas 1,39,96,291
Tejas 1,40,96,284
Tejas 2,1,160,473
Tejas 2,2,192,271
Tejas 2,3,32,291
Tejas 2,4,32,278
Tejas 2,5,96,285
Tejas 2,6,128,287
Tejas 2,7,255,251
Tejas 2,8,128,357
Tejas 2,9,160,392
Tejas 2,10,192,510
Tejas 2,11,64,360
Tejas 2,12,224,299
Tejas 2,13,64,305
Tejas 2,14,32,370
Tejas 2,15,128,293
Tejas 2,16,96,552
Tejas 2,17,192,301
Tejas 2,18,255,289
Tejas 2,19,128,372
Tejas 2,20,255,274
Tejas 2,21,160,347
Tejas 2,22,96,465
Tejas 2,23,32,331
Tejas 2,24,160,379
Tejas 2,25,224,394
Tejas 2,26,32,432
Tejas 2,27,255,258
Tejas 2,28,128,263
Tejas 2,29,64,377
Tejas 2,30,160,270
Tejas 2,31,192,269
Tejas 2,32,224,377
Tejas 2,33,96,326
Tejas 2,34,224,304
Tejas 2,35,64,739
Tejas 2,36,96,307
Tejas 2,37,64,289
Tejas 2,38,224,291
Tejas 2,39,255,265
Tejas 2,40,192,298
Tejas 3,1,32,412
Tejas 3,2,192,311
Tejas 3,3,192,342
Tejas 3,4,160,317
Tejas 3,5,192,398
Tejas 3,6,160,275
Tejas 3,7,96,280
Tejas 3,8,255,292
Tejas 3,9,128,295
Tejas 3,10,96,413
Tejas 3,11,96,282
Tejas 3,12,64,254
Tejas 3,13,192,310
Tejas 3,14,64,261
Tejas 3,15,128,349
Tejas 3,16,255,269
Tejas 3,17,255,259
Tejas 3,18,64,265
Tejas 3,19,224,297
Tejas 3,20,128,283
Tejas 3,21,255,305
Tejas 3,22,32,347
Tejas 3,23,224,277
Tejas 3,24,64,332
Tejas 3,25,160,292
Tejas 3,26,128,311
Tejas 3,27,255,289
Tejas 3,28,32,367
Tejas 3,29,32,301
Tejas 3,30,96,293
Tejas 3,31,160,254
Tejas 3,32,96,269
Tejas 3,33,160,297
Tejas 3,34,128,276
Tejas 3,35,64,279
Tejas 3,36,32,280
Tejas 3,37,224,232
Tejas 3,38,192,244
Tejas 3,39,224,247
Tejas 3,40,224,227
Tejas 4,1,255,250
Tejas 4,2,160,263
Tejas 4,3,224,286
Tejas 4,4,32,289
Tejas 4,5,192,262
Tejas 4,6,32,291
Tejas 4,7,160,405
Tejas 4,8,192,251
Tejas 4,9,224,272
Tejas 4,10,192,272
Tejas 4,11,96,278
Tejas 4,12,96,270
Tejas 4,13,224,525
Tejas 4,14,128,340
Tejas 4,15,32,436
